# 结果摘要: 任务三 | 完成率 71.43% (5/7) | 异常步骤 5/7 (71.43%) | 异常动作 23/46 (50.00%) | 错误动作数 19 | 重复次数 0 | 重复率 0.00%
# 分析: 步骤完成度中等；异常动作总数 23 次，异常动作比例 50.00%，已发生错误动作 19 次，重复步骤 0 次，正确完成步骤 5/7，异常步骤 5 个，异常步骤比例 71.43%，错误步骤 5 个，多做 1 次，漏做步骤 2 次，缺失动作 4 次，步骤内错误动作 18 次。
# 问题统计: 异常动作总数 23 | 总动作数 46 | 日志动作行数 42 | 已发生错误动作数 19 | 多做动作数 1 | 步骤内错误动作数 18 | 缺失动作数 4 | 重复动作行数 0 | 异常步骤数 5 | 总步骤数 7 | 错误步骤数 5 | 缺失步骤数 2
# 问题比例: 异常步骤比例 71.43% (5/7) | 异常动作比例 50.00% (23/46)
# 异常步骤: 步骤2: 将RCP016KG置自动；步骤3: 将RCP016KG置手动；步骤1: 记录RCP001VP初态，手动打开RCP001VP(调节开度为100%)；步骤5: 将RCP016KG置自动；步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态（“将RCP001VP开度调至9%”与“将RCP002VP置自动”操作不分先后）
# 错误步骤: 步骤2: 将RCP016KG置自动；步骤3: 将RCP016KG置手动；步骤1: 记录RCP001VP初态，手动打开RCP001VP(调节开度为100%)；步骤5: 将RCP016KG置自动；步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态（“将RCP001VP开度调至9%”与“将RCP002VP置自动”操作不分先后）
# 缺失步骤: 步骤1: 记录RCP001VP初态，手动打开RCP001VP(调节开度为100%)；步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态（“将RCP001VP开度调至9%”与“将RCP002VP置自动”操作不分先后）
# 缺失动作: 步骤1: 缺失动作 set YL1RCP001VP_P.EXECUTE=1；步骤1: 缺失动作 set YL1RCP001VP_P.EXECUTE=0；步骤7: 缺失动作 set YL1RCP002VP_P.EXECUTE=1；步骤7: 缺失动作 set YL1RCP002VP_P.EXECUTE=0

Run
03:35 set YL1RCP016KG.AUTO=1    # 标注: 错误 | 属于步骤2: 将RCP016KG置自动，但未按标准顺序形成完整步骤
07:38 set YL1RCP016KG.MANUAL=1    # 标注: 正确 | 步骤3: 将RCP016KG置手动
07:39 set YL1RCP016KG.MANUAL=0    # 标注: 正确 | 步骤3: 将RCP016KG置手动
07:39 set YL1RCP016KG.EXECUTE=1    # 标注: 正确 | 步骤3: 将RCP016KG置手动
07:39 set YL1RCP016KG.EXECUTE=0    # 标注: 正确 | 步骤3: 将RCP016KG置手动
08:13 set YL1RCP002VP_P.AUTO=1    # 标注: 错误 | 属于步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态（“将RCP001VP开度调至9%”与“将RCP002VP置自动”操作不分先后），但未按标准顺序形成完整步骤
08:13 set YL1RCP002VP_P.AUTO=0    # 标注: 错误 | 属于步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态（“将RCP001VP开度调至9%”与“将RCP002VP置自动”操作不分先后），但未按标准顺序形成完整步骤
08:15 set YL1RCP002VP_P.MANUAL=1    # 标注: 正确 | 步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%)
08:15 set YL1RCP002VP_P.MANUAL=0    # 标注: 正确 | 步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%)
08:15 set YL1RCP002VP_P.EXECUTE=1    # 标注: 正确 | 步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%)
08:15 set YL1RCP002VP_P.EXECUTE=0    # 标注: 正确 | 步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%)
08:22 set YL1RCP002VP_P.SV=100    # 标注: 正确 | 步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%)
08:32 set YL1RCP002VP_P.EXECUTE=1    # 标注: 正确 | 步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%)
08:32 set YL1RCP002VP_P.EXECUTE=0    # 标注: 正确 | 步骤4: 记录RCP002VP初态，手动打开RCP002VP(调节开度为100%)
08:41 set YL1RCP016KG.AUTO=1    # 标注: 正确 | 步骤5: 将RCP016KG置自动
08:41 set YL1RCP016KG.AUTO=0    # 标注: 正确 | 步骤5: 将RCP016KG置自动
08:42 set YL1RCP016KG.EXECUTE=1    # 标注: 正确 | 步骤5: 将RCP016KG置自动
08:42 set YL1RCP016KG.EXECUTE=0    # 标注: 正确 | 步骤5: 将RCP016KG置自动
08:59 set YL1RCP016KG.MANUAL=1    # 标注: 正确 | 步骤6: 将RCP016KG置手动
08:59 set YL1RCP016KG.MANUAL=0    # 标注: 正确 | 步骤6: 将RCP016KG置手动
08:59 set YL1RCP016KG.EXECUTE=1    # 标注: 正确 | 步骤6: 将RCP016KG置手动
08:59 set YL1RCP016KG.EXECUTE=0    # 标注: 正确 | 步骤6: 将RCP016KG置手动
09:19 set YL1RCP001VP_P.SV=9    # 标注: 错误 | 属于步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态（“将RCP001VP开度调至9%”与“将RCP002VP置自动”操作不分先后），但未按标准顺序形成完整步骤
09:19 set YL1RCP001VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态（“将RCP001VP开度调至9%”与“将RCP002VP置自动”操作不分先后），但未按标准顺序形成完整步骤
09:19 set YL1RCP001VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤7: 恢复RCP016KG、RCP001VP/002VP为初始状态（“将RCP001VP开度调至9%”与“将RCP002VP置自动”操作不分先后），但未按标准顺序形成完整步骤
10:16 set YL1RCP002VP_P.SV=30    # 标注: 多做 | 不在该任务标准流程内
10:33 Freeze
