# 结果摘要: 任务五 | 完成率 50.00% (2/4) | 异常步骤 4/4 (100.00%) | 异常动作 108/115 (93.91%) | 错误动作数 100 | 重复次数 2 | 重复率 50.00%
# 分析: 步骤完成度偏低；异常动作总数 108 次，异常动作比例 93.91%，已发生错误动作 100 次，重复步骤 2 次，正确完成步骤 2/4，异常步骤 4 个，异常步骤比例 100.00%，错误步骤 3 个，多做 86 次，漏做步骤 2 次，缺失动作 2 次，步骤内错误动作 14 次。
# 问题统计: 异常动作总数 108 | 总动作数 115 | 日志动作行数 113 | 已发生错误动作数 100 | 多做动作数 86 | 步骤内错误动作数 14 | 缺失动作数 2 | 重复动作行数 6 | 异常步骤数 4 | 总步骤数 4 | 错误步骤数 3 | 缺失步骤数 2
# 问题比例: 异常步骤比例 100.00% (4/4) | 异常动作比例 93.91% (108/115)
# 异常步骤: 步骤1: 步骤一；步骤3: 步骤三；步骤2: 步骤二；步骤4: 步骤四
# 错误步骤: 步骤1: 步骤一；步骤3: 步骤三；步骤2: 步骤二
# 缺失步骤: 步骤1: 步骤一；步骤4: 步骤四
# 缺失动作: 步骤1: 缺失动作 DCM mov_RCV048VP；步骤4: 缺失动作 DCM tr_RCV018MD

Run
13:41 set YL1RCV061VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
15:05 set YL1RCV061VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
15:05 set YL1RCV061VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
15:07 set YL1RCV061VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
15:07 set YL1RCV061VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
17:39 set YL1RCV048VP_P.OPEN=1    # 标注: 错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤
17:39 set YL1RCV048VP_P.OPEN=0    # 标注: 错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤
17:39 set YL1RCV048VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤
17:40 set YL1RCV048VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤1: 步骤一，但未按标准顺序形成完整步骤
19:31 set YL1RCV061VP_P.SV=60    # 标注: 多做 | 不在该任务标准流程内
19:31 set YL1RCV061VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
19:31 set YL1RCV061VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
19:43 set YL1RCV007VP_P.CLOSE=1    # 标注: 多做 | 不在该任务标准流程内
19:43 set YL1RCV007VP_P.CLOSE=0    # 标注: 多做 | 不在该任务标准流程内
19:44 set YL1RCV007VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
19:44 set YL1RCV007VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
20:00 set YL1RCV046VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤3: 步骤三，但未完整复现整步，不计重复
20:00 set YL1RCV046VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤3: 步骤三，但未完整复现整步，不计重复
22:05 set YL1RCV061VP_P.SV=85    # 标注: 多做 | 不在该任务标准流程内
22:08 set YL1RCV061VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
22:09 set YL1RCV061VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
22:36 set YL1RCV061VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
22:36 set YL1RCV061VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
23:09 set YL1RCV002PO_P.OPEN=1    # 标注: 多做 | 不在该任务标准流程内
23:09 set YL1RCV002PO_P.OPEN=0    # 标注: 多做 | 不在该任务标准流程内
23:10 set YL1RCV002PO_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
23:10 set YL1RCV002PO_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
23:32 set YL1RCV002PO_P.CLOSE=1    # 标注: 多做 | 不在该任务标准流程内
23:32 set YL1RCV002PO_P.CLOSE=0    # 标注: 多做 | 不在该任务标准流程内
23:33 set YL1RCV002PO_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
23:33 set YL1RCV002PO_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
23:44 set YL1RCV003PO_P.OPEN=1    # 标注: 多做 | 不在该任务标准流程内
23:44 set YL1RCV003PO_P.OPEN=0    # 标注: 多做 | 不在该任务标准流程内
23:45 set YL1RCV003PO_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
23:45 set YL1RCV003PO_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
24:00 set YL1RCV046VP_P.MANUAL=1    # 标注: 多做 | 不在该任务标准流程内
24:00 set YL1RCV046VP_P.MANUAL=0    # 标注: 多做 | 不在该任务标准流程内
24:02 set YL1RCV046VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
24:02 set YL1RCV046VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
24:13 set YL1RCV046VP_P.SV=0    # 标注: 多做 | 不在该任务标准流程内
24:15 set YL1RCV046VP_P.SV=0    # 标注: 多做 | 不在该任务标准流程内
24:15 set YL1RCV046VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
24:15 set YL1RCV046VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
24:25 set YL1RCV061VP_P.SV=0    # 标注: 多做 | 不在该任务标准流程内
24:25 set YL1RCV061VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
24:25 set YL1RCV061VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
24:42 set YL1RCV003PO_P.OPEN=1    # 标注: 多做 | 不在该任务标准流程内
24:42 set YL1RCV003PO_P.OPEN=0    # 标注: 多做 | 不在该任务标准流程内
24:42 set YL1RCV003PO_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
24:43 set YL1RCV003PO_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
25:01 set YL1RCV061VP_P.SV=60    # 标注: 多做 | 不在该任务标准流程内
25:02 set YL1RCV061VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
25:02 set YL1RCV061VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
25:10 set YL1RCV009VP_P.OPEN=1    # 标注: 错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复
25:10 set YL1RCV009VP_P.OPEN=0    # 标注: 错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复
25:11 set YL1RCV009VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复
25:11 set YL1RCV009VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复
25:21 set YL1RCV046VP_P.SV=55    # 标注: 重复步骤 | 步骤3: 步骤三
25:22 set YL1RCV046VP_P.EXECUTE=1    # 标注: 重复步骤 | 步骤3: 步骤三
25:22 set YL1RCV046VP_P.EXECUTE=0    # 标注: 重复步骤 | 步骤3: 步骤三
26:31 set YL1RCV009VP_P.CLOSE=1    # 标注: 多做 | 不在该任务标准流程内
26:31 set YL1RCV009VP_P.CLOSE=0    # 标注: 多做 | 不在该任务标准流程内
26:31 set YL1RCV009VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
26:31 set YL1RCV009VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
27:42 set YL1RCV003PO_P.CLOSE=1    # 标注: 多做 | 不在该任务标准流程内
27:42 set YL1RCV003PO_P.CLOSE=0    # 标注: 多做 | 不在该任务标准流程内
27:45 set YL1RCV003PO_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
27:45 set YL1RCV003PO_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
28:44 set YL1RCV061VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
28:44 set YL1RCV061VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
28:52 set YL1RCV046VP_P.MANUAL=1    # 标注: 多做 | 不在该任务标准流程内
28:52 set YL1RCV046VP_P.MANUAL=0    # 标注: 多做 | 不在该任务标准流程内
28:55 set YL1RCV046VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
28:55 set YL1RCV046VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
28:59 set YL1RCV046VP_P.SV=0    # 标注: 多做 | 不在该任务标准流程内
29:00 set YL1RCV046VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
29:00 set YL1RCV046VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
29:09 set YL1RCV061VP_P.SV=0    # 标注: 多做 | 不在该任务标准流程内
29:11 set YL1RCV061VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
29:11 set YL1RCV061VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
29:20 set YL1RCV003PO_P.OPEN=1    # 标注: 多做 | 不在该任务标准流程内
29:20 set YL1RCV003PO_P.OPEN=0    # 标注: 多做 | 不在该任务标准流程内
29:20 set YL1RCV003PO_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
29:21 set YL1RCV003PO_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
29:36 set YL1RCV061VP_P.SV=60    # 标注: 多做 | 不在该任务标准流程内
29:38 set YL1RCV061VP_P.SV=60    # 标注: 多做 | 不在该任务标准流程内
29:39 set YL1RCV061VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
29:39 set YL1RCV061VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
29:45 set YL1RCV007VP_P.OPEN=1    # 标注: 错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复
29:45 set YL1RCV007VP_P.OPEN=0    # 标注: 错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复
29:46 set YL1RCV007VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复
29:46 set YL1RCV007VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤2: 步骤二，但未完整复现整步，不计重复
29:51 set YL1RCV046VP_P.MANUAL=1    # 标注: 多做 | 不在该任务标准流程内
29:51 set YL1RCV046VP_P.MANUAL=0    # 标注: 多做 | 不在该任务标准流程内
29:52 set YL1RCV046VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
29:52 set YL1RCV046VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
29:55 set YL1RCV046VP_P.SV=55    # 标注: 重复步骤 | 步骤3: 步骤三
29:56 set YL1RCV046VP_P.EXECUTE=1    # 标注: 重复步骤 | 步骤3: 步骤三
29:56 set YL1RCV046VP_P.EXECUTE=0    # 标注: 重复步骤 | 步骤3: 步骤三
34:06 Freeze
