sample_id,subject,task,task_difficulty,n_windows,y_nasa,nasa_reverse,nasa_bin,source_sheet,n_steps,n_key_steps,n_nonkey_steps,key_steps,nonkey_steps,key_completion,nonkey_completion,raw_step_completion,weighted_step_score,S,S_bin
subject_09_task_1,9,1,中,211,5.666666666666667,0.43333333333333335,中,01,6,2,4,"M1,M3","M2,M4,M5,M6",1.0,0.75,0.8333333333333334,0.9375,0.635,中
subject_09_task_4,9,4,中,175,5.2,0.48,中,04,4,1,3,M2,"M1,M3,M4",1.0,0.6666666666666666,0.75,0.9166666666666666,0.6546666666666667,高
subject_09_task_5_6,9,5_6,高,68,6.0,0.4,高,第二次测试05_06,5,5,0,"H1,H2,H3,H4,H5",,1.0,,1.0,1.0,0.64,中
subject_10_task_2,10,2,中,367,4.4,0.5599999999999999,中,02,8,3,5,"M1,M3,M5","M2,M3.1,M4,M6,M7",1.0,0.6,0.75,0.9,0.696,高
subject_10_task_3,10,3,低,105,4.4,0.5599999999999999,中,03,4,2,2,"L2,L3","L1,L4",1.0,0.5,0.75,0.875,0.6859999999999999,高
subject_10_task_5_6,10,5_6,高,127,7.066666666666666,0.29333333333333333,高,第二次测试05_06,5,5,0,"H1,H2,H3,H4,H5",,0.4,,0.4,0.4,0.336,低
subject_11_task_1,11,1,中,235,5.666666666666667,0.43333333333333335,中,01,6,2,4,"M1,M3","M2,M4,M5,M6",1.0,0.75,0.8333333333333334,0.9375,0.635,中
subject_11_task_3,11,3,低,94,4.066666666666666,0.5933333333333334,低,03,4,2,2,"L2,L3","L1,L4",0.0,0.5,0.25,0.125,0.406,低
subject_11_task_5_6,11,5_6,高,145,7.8,0.21999999999999997,高,第二次测试05_06,5,5,0,"H1,H2,H3,H4,H5",,0.6,,0.6,0.6,0.372,低
subject_12_task_2,12,2,中,413,5.333333333333333,0.4666666666666667,中,02,8,3,5,"M1,M3,M5","M2,M3.1,M4,M6,M7",1.0,0.8,0.875,0.95,0.6599999999999999,高
subject_12_task_3,12,3,低,60,4.266666666666667,0.5733333333333334,低,03,4,2,2,"L2,L3","L1,L4",0.5,0.5,0.5,0.5,0.544,中
subject_12_task_5_6,12,5_6,高,132,7.666666666666667,0.23333333333333328,高,第二次测试05_06,5,5,0,"H1,H2,H3,H4,H5",,0.6,,0.6,0.6,0.37999999999999995,低
subject_13_task_3,13,3,低,3,2.2666666666666666,0.7733333333333333,低,03,4,2,2,"L2,L3","L1,L4",1.0,0.5,0.75,0.875,0.8140000000000001,高
subject_13_task_5,13,5,低,103,2.2666666666666666,0.7733333333333333,低,05,3,3,0,"L1,L2,L3",,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.7306666666666666,高
subject_13_task_5_6,13,5_6,高,141,4.6,0.54,中,第三次测试05_06,7,7,0,"H1,H2,H3,H4,H5,H6,H7",,0.42857142857142855,,0.42857142857142855,0.42857142857142855,0.49542857142857144,低
subject_14_task_3,14,3,低,46,1.3333333333333333,0.8666666666666667,低,03,4,2,2,"L2,L3","L1,L4",1.0,1.0,1.0,1.0,0.92,高
subject_14_task_5,14,5,低,220,3.466666666666667,0.6533333333333333,低,05,3,3,0,"L1,L2,L3",,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.5253333333333333,中
subject_14_task_5_6,14,5_6,高,136,4.733333333333333,0.5266666666666666,中,第三次测试05_06,7,7,0,"H1,H2,H3,H4,H5,H6,H7",,0.14285714285714285,,0.14285714285714285,0.14285714285714285,0.3731428571428571,低
subject_15_task_3,15,3,低,70,2.2666666666666666,0.7733333333333333,低,03,4,2,2,"L2,L3","L1,L4",1.0,1.0,1.0,1.0,0.864,高
subject_15_task_5,15,5,低,100,2.6,0.74,低,05,3,3,0,"L1,L2,L3",,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.5773333333333334,中
subject_15_task_5_6,15,5_6,高,75,7.333333333333333,0.2666666666666667,高,第三次测试05_06,7,7,0,"H1,H2,H3,H4,H5,H6,H7",,0.2857142857142857,,0.2857142857142857,0.2857142857142857,0.2742857142857143,低
subject_16_task_3,16,3,低,67,4.666666666666667,0.5333333333333333,中,03,4,2,2,"L2,L3","L1,L4",1.0,1.0,1.0,1.0,0.72,高
subject_16_task_5,16,5,低,17,3.6,0.64,低,05,3,3,0,"L1,L2,L3",,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.5173333333333333,中
subject_16_task_5_6,16,5_6,高,50,6.066666666666666,0.3933333333333333,高,第三次测试05_06,7,7,0,"H1,H2,H3,H4,H5,H6,H7",,0.42857142857142855,,0.42857142857142855,0.42857142857142855,0.4074285714285714,低
subject_16_task_5_6_repeat_1,16,5_6,高,136,6.066666666666666,0.3933333333333333,高,第三次测试05_06,7,7,0,"H1,H2,H3,H4,H5,H6,H7",,0.42857142857142855,,0.42857142857142855,0.42857142857142855,0.4074285714285714,低
subject_17_task_4,17,4,中,162,4.266666666666667,0.5733333333333334,低,04,4,1,3,M2,"M1,M3,M4",1.0,1.0,1.0,1.0,0.744,高
subject_17_task_5,17,5,低,45,2.2666666666666666,0.7733333333333333,低,05,3,3,0,"L1,L2,L3",,0.3333333333333333,,0.3333333333333333,0.3333333333333333,0.5973333333333333,中
subject_17_task_5_6,17,5_6,高,92,6.4,0.36,高,第三次测试05_06,7,7,0,"H1,H2,H3,H4,H5,H6,H7",,1.0,,1.0,1.0,0.616,中
subject_18_task_3,18,3,低,42,3.1333333333333333,0.6866666666666666,低,03,4,2,2,"L2,L3","L1,L4",1.0,1.0,1.0,1.0,0.812,高
subject_18_task_5,18,5,低,62,3.8666666666666663,0.6133333333333334,低,05,3,3,0,"L1,L2,L3",,1.0,,1.0,1.0,0.768,高
subject_18_task_5_6,18,5_6,高,164,6.6,0.3400000000000001,高,第三次测试05_06,7,7,0,"H1,H2,H3,H4,H5,H6,H7",,0.8571428571428571,,0.8571428571428571,0.8571428571428571,0.5468571428571429,中
subject_19_task_3,19,3,低,53,2.8666666666666667,0.7133333333333334,低,03,4,2,2,"L2,L3","L1,L4",1.0,0.5,0.75,0.875,0.778,高
subject_19_task_5,19,5,低,24,3.8666666666666663,0.6133333333333334,低,05,3,3,0,"L1,L2,L3",,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.6346666666666667,中
subject_19_task_5_6,19,5_6,高,160,5.733333333333333,0.42666666666666664,中,第三次测试05_06,7,7,0,"H1,H2,H3,H4,H5,H6,H7",,0.8571428571428571,,0.8571428571428571,0.8571428571428571,0.5988571428571428,中
subject_19_task_5_repeat_1,19,5,低,40,3.8666666666666663,0.6133333333333334,低,05,3,3,0,"L1,L2,L3",,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.6346666666666667,中
subject_20_task_3,20,3,低,35,1.6,0.84,低,03,4,2,2,"L2,L3","L1,L4",1.0,0.5,0.75,0.875,0.8540000000000001,高
subject_20_task_4,20,4,中,298,5.666666666666667,0.43333333333333335,中,04,4,1,3,M2,"M1,M3,M4",0.0,0.6666666666666666,0.5,0.16666666666666666,0.32666666666666666,低
subject_20_task_5_6_repeat_1,20,5_6,高,94,7.4,0.26,高,第三次测试05_06,7,7,0,"H1,H2,H3,H4,H5,H6,H7",,0.2857142857142857,,0.2857142857142857,0.2857142857142857,0.2702857142857143,低
subject_20_task_5_6_repeat_2,20,5_6,高,54,6.733333333333333,0.32666666666666666,高,第三次测试05_06,7,7,0,"H1,H2,H3,H4,H5,H6,H7",,0.2857142857142857,,0.2857142857142857,0.2857142857142857,0.3102857142857143,低
subject_21_task_3,21,3,低,6,2.3333333333333335,0.7666666666666666,低,03,4,2,2,"L2,L3","L1,L4",1.0,1.0,1.0,1.0,0.86,高
subject_21_task_4,21,4,中,141,3.6,0.64,低,04,4,1,3,M2,"M1,M3,M4",0.0,1.0,0.75,0.25,0.484,低
subject_21_task_5,21,5,低,56,2.6,0.74,低,05,3,3,0,"L1,L2,L3",,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.7106666666666667,高
subject_21_task_5_6,21,5_6,高,187,7.133333333333334,0.2866666666666666,高,第三次测试05_06,7,7,0,"H1,H2,H3,H4,H5,H6,H7",,0.5714285714285714,,0.5714285714285714,0.5714285714285714,0.4005714285714285,低
subject_22_task_3,22,3,低,40,2.2666666666666666,0.7733333333333333,低,03,4,2,2,"L2,L3","L1,L4",1.0,1.0,1.0,1.0,0.864,高
subject_22_task_4,22,4,中,209,4.733333333333333,0.5266666666666666,中,04,4,1,3,M2,"M1,M3,M4",1.0,1.0,1.0,1.0,0.716,高
subject_22_task_5,22,5,低,96,3.2666666666666666,0.6733333333333333,低,05,3,3,0,"L1,L2,L3",,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.6706666666666666,高
subject_22_task_5_6,22,5_6,高,147,6.533333333333333,0.3466666666666667,高,第三次测试05_06,7,7,0,"H1,H2,H3,H4,H5,H6,H7",,0.8571428571428571,,0.8571428571428571,0.8571428571428571,0.5508571428571428,中
subject_23_task_3,23,3,低,69,2.4,0.76,低,03,4,2,2,"L2,L3","L1,L4",0.5,1.0,0.75,0.625,0.706,高
subject_23_task_5,23,5,低,27,5.933333333333334,0.4066666666666666,高,05,3,3,0,"L1,L2,L3",,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.5106666666666666,中
subject_23_task_5_6,23,5_6,高,102,6.866666666666666,0.31333333333333335,高,第三次测试05_06,7,7,0,"H1,H2,H3,H4,H5,H6,H7",,0.7142857142857143,,0.7142857142857143,0.7142857142857143,0.47371428571428575,低
subject_23_task_5_6_repeat_1,23,5_6,高,79,6.533333333333333,0.3466666666666667,高,第三次测试05_06,7,7,0,"H1,H2,H3,H4,H5,H6,H7",,0.7142857142857143,,0.7142857142857143,0.7142857142857143,0.49371428571428577,低
subject_24_task_3,24,3,低,78,4.2,0.58,低,03,4,2,2,"L2,L3","L1,L4",1.0,1.0,1.0,1.0,0.748,高
subject_24_task_4,24,4,中,275,5.6,0.44000000000000006,中,04,4,1,3,M2,"M1,M3,M4",1.0,1.0,1.0,1.0,0.664,高
subject_24_task_5_6,24,5_6,高,354,7.333333333333333,0.2666666666666667,高,第三次测试05_06,7,7,0,"H1,H2,H3,H4,H5,H6,H7",,0.14285714285714285,,0.14285714285714285,0.14285714285714285,0.21714285714285717,低
subject_25_task_3,25,3,低,219,4.666666666666667,0.5333333333333333,中,03,4,2,2,"L2,L3","L1,L4",0.5,0.5,0.5,0.5,0.52,中
subject_25_task_4,25,4,中,354,5.666666666666667,0.43333333333333335,中,04,4,1,3,M2,"M1,M3,M4",1.0,0.6666666666666666,0.75,0.9166666666666666,0.6266666666666667,中
subject_25_task_5_6,25,5_6,高,463,6.133333333333334,0.3866666666666666,高,第三次测试05_06,7,7,0,"H1,H2,H3,H4,H5,H6,H7",,0.2857142857142857,,0.2857142857142857,0.2857142857142857,0.34628571428571425,低
subject_26_task_3,26,3,低,144,2.933333333333333,0.7066666666666667,低,03,4,2,2,"L2,L3","L1,L4",0.5,0.5,0.5,0.5,0.624,中
subject_26_task_4,26,4,中,313,5.333333333333333,0.4666666666666667,中,04,4,1,3,M2,"M1,M3,M4",0.0,1.0,0.75,0.25,0.38,低
subject_26_task_5_6,26,5_6,高,391,6.466666666666667,0.3533333333333333,高,第三次测试05_06,7,7,0,"H1,H2,H3,H4,H5,H6,H7",,0.14285714285714285,,0.14285714285714285,0.14285714285714285,0.26914285714285713,低
