# 结果摘要: 任务五/六（05_06） | 完成率 75.00% (9/12) | 异常步骤 8/12 (66.67%) | 异常动作 71/109 (65.14%) | 错误动作数 45 | 重复次数 3 | 重复率 25.00%
# 分析: 步骤完成度中等；异常动作总数 71 次，异常动作比例 65.14%，已发生错误动作 45 次，重复步骤 3 次，正确完成步骤 9/12，异常步骤 8 个，异常步骤比例 66.67%，错误步骤 6 个，多做 17 次，漏做步骤 3 次，缺失动作 12 次，步骤内错误动作 28 次。
# 问题统计: 异常动作总数 71 | 总动作数 109 | 日志动作行数 97 | 已发生错误动作数 45 | 多做动作数 17 | 步骤内错误动作数 28 | 缺失动作数 12 | 重复动作行数 14 | 异常步骤数 8 | 总步骤数 12 | 错误步骤数 6 | 缺失步骤数 3
# 问题比例: 异常步骤比例 66.67% (8/12) | 异常动作比例 65.14% (71/109)
# 异常步骤: 步骤8: 步骤八；步骤12: 步骤十二；步骤9: 步骤九；步骤11: 步骤十一；步骤5: 步骤五；步骤6: 步骤六；步骤2: 步骤二；步骤7: 步骤七
# 错误步骤: 步骤8: 步骤八；步骤12: 步骤十二；步骤9: 步骤九；步骤11: 步骤十一；步骤5: 步骤五；步骤6: 步骤六
# 缺失步骤: 步骤2: 步骤二；步骤7: 步骤七；步骤8: 步骤八
# 缺失动作: 步骤2: 缺失动作 set YL1RCV046VP_P.SV=0；步骤2: 缺失动作 set YL1RCV046VP_P.EXECUTE=1；步骤2: 缺失动作 set YL1RCV046VP_P.EXECUTE=0；步骤7: 缺失动作 set YL1RCV046VP_P.SV=55；步骤7: 缺失动作 set YL1RCV046VP_P.EXECUTE=1；步骤7: 缺失动作 set YL1RCV046VP_P.EXECUTE=0；步骤8: 缺失动作 set YL1RCV046VP_P.SV=50；步骤8: 缺失动作 set YL1RCV046VP_P.EXECUTE=1；步骤8: 缺失动作 set YL1RCV046VP_P.EXECUTE=0；步骤8: 缺失动作 set YL1RCV046VP_P.SV=55

Run
08:14 set YL1RCV061VP_P.SV=96    # 标注: 正确 | 步骤12: 步骤十二
27:16 set YL1RCV009VP_P.EXECUTE=1    # 标注: 重复步骤 | 步骤6: 步骤六
27:16 set YL1RCV009VP_P.EXECUTE=0    # 标注: 重复步骤 | 步骤6: 步骤六
28:02 set YL1RCV008VP_P.OPEN=1    # 标注: 重复步骤 | 步骤6: 步骤六
28:02 set YL1RCV008VP_P.OPEN=0    # 标注: 重复步骤 | 步骤6: 步骤六
28:03 set YL1RCV008VP_P.EXECUTE=1    # 标注: 重复步骤 | 步骤6: 步骤六
28:04 set YL1RCV008VP_P.EXECUTE=0    # 标注: 重复步骤 | 步骤6: 步骤六
28:17 DCM aov_RCV008VP    # 标注: 重复步骤 | 步骤6: 步骤六
28:21 set YL1RCV008VP_P.OPEN=1    # 标注: 错误 | 属于步骤6: 步骤六，但未完整复现整步，不计重复
28:21 set YL1RCV008VP_P.OPEN=0    # 标注: 错误 | 属于步骤6: 步骤六，但未完整复现整步，不计重复
28:23 set YL1RCV008VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤6: 步骤六，但未完整复现整步，不计重复
28:23 set YL1RCV008VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤6: 步骤六，但未完整复现整步，不计重复
29:13 set YL1RCV007VP_P.OPEN=1    # 标注: 重复步骤 | 步骤6: 步骤六
29:14 set YL1RCV007VP_P.OPEN=0    # 标注: 重复步骤 | 步骤6: 步骤六
29:15 set YL1RCV007VP_P.EXECUTE=1    # 标注: 重复步骤 | 步骤6: 步骤六
29:15 set YL1RCV007VP_P.EXECUTE=0    # 标注: 重复步骤 | 步骤6: 步骤六
29:24 DCM aov_RCV007VP    # 标注: 重复步骤 | 步骤6: 步骤六
29:45 set YL1RCV007VP_P.OPEN=1    # 标注: 错误 | 属于步骤6: 步骤六，但未完整复现整步，不计重复
29:45 set YL1RCV007VP_P.OPEN=0    # 标注: 错误 | 属于步骤6: 步骤六，但未完整复现整步，不计重复
29:46 set YL1RCV007VP_P.EXECUTE=1    # 标注: 错误 | 属于步骤6: 步骤六，但未完整复现整步，不计重复
29:46 set YL1RCV007VP_P.EXECUTE=0    # 标注: 错误 | 属于步骤6: 步骤六，但未完整复现整步，不计重复
32:04 set YL1RCV046VP_P.SV=80    # 标注: 多做 | 不在该任务标准流程内
32:06 set YL1RCV046VP_P.EXECUTE=1    # 标注: 多做 | 不在该任务标准流程内
32:06 set YL1RCV046VP_P.EXECUTE=0    # 标注: 多做 | 不在该任务标准流程内
36:12 Freeze
