# 结果摘要: 任务五/六（05_06） | 完成率 100.00% (12/12) | 异常步骤 1/12 (8.33%) | 异常动作 4/58 (6.90%) | 错误动作数 4 | 重复次数 0 | 重复率 0.00%
# 分析: 步骤完成度较高；异常动作总数 4 次，异常动作比例 6.90%，已发生错误动作 4 次，重复步骤 0 次，正确完成步骤 12/12，异常步骤 1 个，异常步骤比例 8.33%，错误步骤 1 个，步骤内错误动作 4 次。
# 问题统计: 异常动作总数 4 | 总动作数 58 | 日志动作行数 58 | 已发生错误动作数 4 | 多做动作数 0 | 步骤内错误动作数 4 | 缺失动作数 0 | 重复动作行数 0 | 异常步骤数 1 | 总步骤数 12 | 错误步骤数 1 | 缺失步骤数 0
# 问题比例: 异常步骤比例 8.33% (1/12) | 异常动作比例 6.90% (4/58)
# 异常步骤: 步骤6: 步骤六
# 错误步骤: 步骤6: 步骤六
# 缺失步骤: 无
# 缺失动作: 无

Run
55 set YL1RCV034VP_P.OPEN=1    # 标注: 正确 | 步骤1: 步骤一
03:38 set YL1RCV009VP_P.OPEN=0    # 标注: 正确 | 步骤6: 步骤六
03:39 set YL1RCV009VP_P.EXECUTE=1    # 标注: 正确 | 步骤6: 步骤六
03:40 set YL1RCV009VP_P.EXECUTE=0    # 标注: 正确 | 步骤6: 步骤六
04:20 set YL1RCV046VP_P.SV=55    # 标注: 正确 | 步骤7: 步骤七
04:20 set YL1RCV046VP_P.EXECUTE=1    # 标注: 正确 | 步骤7: 步骤七
04:21 set YL1RCV046VP_P.EXECUTE=0    # 标注: 正确 | 步骤7: 步骤七
05:23 set YL1RCV046VP_P.SV=50    # 标注: 正确 | 步骤8: 步骤八
05:23 set YL1RCV046VP_P.EXECUTE=1    # 标注: 正确 | 步骤8: 步骤八
05:23 set YL1RCV046VP_P.EXECUTE=0    # 标注: 正确 | 步骤8: 步骤八
05:28 set YL1RCV046VP_P.SV=55    # 标注: 正确 | 步骤8: 步骤八
05:29 set YL1RCV046VP_P.EXECUTE=1    # 标注: 正确 | 步骤8: 步骤八
05:29 set YL1RCV046VP_P.EXECUTE=0    # 标注: 正确 | 步骤8: 步骤八
05:35 DCM tr_RCV018MD    # 标注: 正确 | 步骤8: 步骤八
06:10 set YL1RCV076VP_P.OPEN=1    # 标注: 正确 | 步骤9: 步骤九
06:17 set YL1RCV076VP_P.OPEN=0    # 标注: 正确 | 步骤9: 步骤九
06:18 set YL1RCV076VP_P.EXECUTE=1    # 标注: 正确 | 步骤9: 步骤九
06:18 set YL1RCV076VP_P.EXECUTE=0    # 标注: 正确 | 步骤9: 步骤九
06:20 set YL1RCV077VP_P.OPEN=1    # 标注: 正确 | 步骤10: 步骤十
06:20 set YL1RCV077VP_P.OPEN=0    # 标注: 正确 | 步骤10: 步骤十
06:21 set YL1RCV077VP_P.EXECUTE=1    # 标注: 正确 | 步骤10: 步骤十
06:21 set YL1RCV077VP_P.EXECUTE=0    # 标注: 正确 | 步骤10: 步骤十
06:24 set YL1RCV078VP_P.OPEN=1    # 标注: 正确 | 步骤11: 步骤十一
06:24 set YL1RCV078VP_P.OPEN=0    # 标注: 正确 | 步骤11: 步骤十一
06:24 set YL1RCV078VP_P.EXECUTE=1    # 标注: 正确 | 步骤11: 步骤十一
06:24 set YL1RCV078VP_P.EXECUTE=0    # 标注: 正确 | 步骤11: 步骤十一
06:53 DCM mov_RCV076VP    # 标注: 正确 | 步骤9: 步骤九
07:06 DCM mov_RCV078VP    # 标注: 正确 | 步骤11: 步骤十一
08:02 DCM pos_RCV061VP    # 标注: 正确 | 步骤5: 步骤五
09:30 set YL1RCV061VP_P.SV=50    # 标注: 正确 | 步骤12: 步骤十二
09:32 set YL1RCV061VP_P.EXECUTE=1    # 标注: 正确 | 步骤12: 步骤十二
09:32 set YL1RCV061VP_P.EXECUTE=0    # 标注: 正确 | 步骤12: 步骤十二
09:41 set YL1RCV061VP_P.SV=60    # 标注: 正确 | 步骤12: 步骤十二
09:42 set YL1RCV061VP_P.EXECUTE=1    # 标注: 正确 | 步骤12: 步骤十二
09:42 set YL1RCV061VP_P.EXECUTE=0    # 标注: 正确 | 步骤12: 步骤十二
10:00 DCM tr_RCV021MD    # 标注: 正确 | 步骤12: 步骤十二
10:04 Freeze
